upstream_path	commit	section_or_step	status	original_dependency	local_root	local_path	local_treatment	reason	reconsideration_trigger	dogfooding_evidence
pstack/skills/poteto-mode/SKILL.md	fadd23794c0075468eb8964b0fd93e06e09486ad	frontmatter, non-negotiables, autonomy, subagents, playbook routing	host substitution	Cursor mode, Task, model rules, cloud and Graphite routes	skills/ds-mode	skills/ds-mode/SKILL.md	Renamed ds-mode; generic lead and fresh workers; host tools mapped in workers.md; inactive routes removed; cross-skill calls link directly to entrypoints; routed skills' diverse-model review becomes independent review while one model family is configured; a second opinion uses the other configured model and is labelled same-family; Autonomy restored with any available tool or CLI in place of MCP and team chat ask-first; session overrides, broken-skill rule, route triggers, and the new-task re-match (from the Cursor mode reminder) restored; the broken-skill fix uses its own commit under a local-only override; push and open a PR proceed at the end of code-changing playbooks, with a local-only session override; reviewing a PR or branch routes to interrogate, as pstack's README directs ('/interrogate review this pr'); Shipping route and playbook restored for explicit ship or merge requests; the multi-phase plan route line restored; cleanup route triggers restored; no-comments runs only when the diff adds comment or lint-suppression lines; the commit-message route states the commit format itself and points to Opening a PR's Titles and commit messages, because workers read SKILL.md, not Opening a PR, and write commits; the Shipping route drops Origin and uses gh only; figure-it-out takes only work no bundled playbook fits, whatever its size; simplification and deletion tickets route to Refactoring; work the user steps away from no longer routes to figure-it-out on its own, since show-me-your-work and Autonomous run cover it	Model-neutral roles with a concrete Pi-Herdr binding and explicit-only skill discovery; a diff that adds no comment or suppression lines gives Comment Sicko nothing to review (talisman-website #55 dogfood, 2026-09-24); growthapp issue #147, a simplification ticket, went to figure-it-out under the size rule and both runs over-built it, so a fitting playbook now wins at any size and simplification routes to Refactoring (user decision 2026-09-25)	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable; growthapp PRs #153 and #154 (2026-09-25): figure-it-out runs on simplification issue #147 each produced one large PR beyond the ticket
pstack/skills/poteto-mode/playbooks/investigation.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	local files	skills/ds-mode	skills/ds-mode/playbooks/investigation.md	Active copy; cross-skill calls link directly to entrypoints; 'no babysit' reads 'no PR Check'	Pi lead with pi-herdr-agents workers and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/bug-fix.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/bug-fix.md	Preserved methodology; generic worker roles; host dispatch confined to worker references; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/perf-issue.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/perf-issue.md	Preserved methodology; generic worker roles; host dispatch confined to worker references; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/hillclimb.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/hillclimb.md	Preserved methodology; fresh Implement workers; host dispatch confined to worker references; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/runtime-forensics.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/runtime-forensics.md	Preserved methodology; generic worker roles; host dispatch confined to worker references; cross-skill calls link directly to entrypoints	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/trace-forensics.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/trace-forensics.md	Preserved methodology; generic worker roles; host dispatch confined to worker references; cross-skill calls link directly to entrypoints	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/feature.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/feature.md	Preserved methodology and mandatory delegation; generic worker roles; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream	Model-neutral delegation and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/refactoring.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	Cursor Task and configured models	skills/ds-mode	skills/ds-mode/playbooks/refactoring.md	Preserved methodology; generic worker roles; host dispatch confined to worker references; cross-skill calls link directly to entrypoints; Opening a PR ends the playbook as upstream; simplification and deletion tickets belong here, with the changes the ticket names as the contract change and the remaining behavior pinned; large structural work stays here instead of moving to figure-it-out	Model-neutral delegation and explicit-only skill discovery; growthapp issue #147, a simplification ticket, went to figure-it-out under the size rule and both runs over-built it, so a fitting playbook now wins at any size and simplification routes to Refactoring (user decision 2026-09-25)	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
pstack/skills/poteto-mode/playbooks/prototype.md	fadd23794c0075468eb8964b0fd93e06e09486ad	entire playbook	host substitution	local files	skills/ds-mode	skills/ds-mode/playbooks/prototype.md	Active copy; cross-skill calls link directly to entrypoints	Pi lead with pi-herdr-agents workers and explicit-only skill discovery	new dogfooding evidence	Cited issue-202 remediation file was never committed; unverifiable
